variable,qv,pv,su,rank
medicost,0.7627401734306714,9.053896715465956e-10,50,1
sensepop,0.715325084865948,4.302910195036827e-10,50,2
urbanpop,0.7130302174165501,6.026033595187517e-10,50,3
temp,0.5069020904316142,4.2219147963892464e-10,50,4
prec,0.4246276417413003,3.8262235220465346e-10,50,5
popd,0.2183986548925433,6.121531601933905e-10,50,6
rdds,0.2082842555530512,2.044255560727619e-10,50,7
gdpd,0.20541512230027958,2.451116108584221e-10,50,8
humi,0.1852852015607036,5.67385037661839e-10,50,9
medicost,0.7674863822182372,6.25005388210035e-10,100,1
urbanpop,0.7213577773694068,4.0471324436273243e-10,100,2
sensepop,0.7162391729362949,3.1236864050238067e-10,100,3
temp,0.5617652808472798,5.988151816310565e-10,100,4
prec,0.44854856606611426,3.9784524394521903e-10,100,5
rdds,0.27700739248853945,7.085421159297098e-10,100,6
gdpd,0.24312454478553625,9.29140598065082e-10,100,7
popd,0.24308527544698344,5.807134033624511e-10,100,8
humi,0.21396055125618807,6.432959662465605e-10,100,9
medicost,0.7409447689777371,7.011837726655749e-10,150,1
sensepop,0.7049464224587381,3.829349936104731e-10,150,2
urbanpop,0.7047894215241111,6.368394888582422e-10,150,3
temp,0.5686866488618578,3.1865143477419894e-10,150,4
prec,0.48996722449038554,3.9377337387970154e-10,150,5
gdpd,0.3349072735516032,5.335133537753313e-10,150,6
rdds,0.305069230499039,4.1331535416411214e-10,150,7
popd,0.30146668979546287,8.968817731135233e-10,150,8
humi,0.2953429521024926,8.671549349891991e-10,150,9
